,Id,Dirección,Precio,Precio original,Precio actual,Cambio precio,Número cambios precio,Habitaciones,M2,Descripción,Días en venta,Localidad,Fecha,Mes,Tags
21,/inmueble/108884569/,"Chalet adosado en Urbanización El Alambique, s/n, Pilas",192000,,,,,4,146,"
premiere servicios inmobiliarios presenta en exclusiva esta espectacular casa adosada en la urbanización el alambique, por su gran encanto y su inmejorable construcción.
esta casa consta de 3 plantas, con una fachada de 5,63 y de fondo 17,39 m2.
en la primera planta tiene construida 76 m2, encontramos un recibidor, u
",1,Pilas,2025-08-31,Agosto,No
22,/inmueble/106700215/,"Piso en Calle Pizarro, Pilas",63000,,,,,3,90,"
oportunidad ininmueble ocupado, no se puede visitar. propio para inversores o vecinos que conozcan el inmueble.
sevilla es un municipio y una ciudad de españa, capital de la provincia homónima y de andalucía. 6 contaba con 684 164 habitantes en 2023,7 por lo que es la ciudad más poblada de andalucía, la cuarta de espa
",1,Pilas,2025-08-31,Agosto,No
23,/inmueble/108785375/,"Chalet adosado en Calle Palos de la Frontera, Pilas",129000,,,,,4,215,"
una casa con historia, con arte… y con espacio para todo menos para excusas.
si estás hart@ de ver casas clónicas, con alma de catálogo y cero personalidad… para el scroll aquí mismo. porque esta vivienda adosada no solo tiene metros, tiene carácter. y del bueno.
 ubicada en una zona tranquila, donde el único ruido
",1,Pilas,2025-08-31,Agosto,No
24,/inmueble/108799799/,"Finca rústica en Callejón de La Dehesa, Pilas",135000,,,,,3,180,"
¡increíble finca rústica en venta! esta parcela de 3300 mts2 está totalmente vallada y cuenta con una puerta metálica de acceso para mayor seguridad. ubicada a solo 1,5 kms del casco urbano de pilas, disfrutarás de un fácil acceso durante todo el año. además, tendrás vecinos colindantes con parcelas similares que habit
",1,Pilas,2025-08-31,Agosto,No
25,/inmueble/101284678/,Chalet adosado en Pilas,170000,,,,,3,148,"
venta de extraordinaria vivienda en una de las mejores zonas de pilas (aljarafe-sevilla). es una vivienda moderna y con gran diseño. construida con materiales de gran calidad que ha sido reformada por sus actuales dueños, a pesar de ser su construcción de solamente 2006. esta distribuida en dos útiles plantas. al acced
",1,Pilas,2025-08-31,Agosto,No
26,/inmueble/109005519/,"Chalet adosado en CL Alfareria, 55, Pilas",115000,,,,,5,172,"
¡descubre esta increíble oportunidad en el corazón de pilas! este chalet adosado, con un total de 172 m² construidos, ofrece un sinfín de posibilidades tanto para vivir como para invertir. en la planta baja, encontrarás un local independiente con aseo, ideal para emprender tu propio negocio o alquilarlo y generar ingre
",1,Pilas,2025-08-31,Agosto,No
27,/inmueble/108947139/,"Chalet adosado en CL Gonzalo Bilbao, 7, Pilas",98415,,,,,4,122,"
en subasta: vivienda unifamiliar adosada en pilas (sevilla)
se subasta una vivienda unifamiliar entre medianeras, situada en calle gonzalo bilbao, número 7, en el municipio de pilas (sevilla). forma parte del conjunto residencial del plan parcial r-8, un desarrollo urbanístico de reciente consolidación, caracterizado
",1,Pilas,2025-08-31,Agosto,No
28,/inmueble/106539598/,Chalet adosado en Pilas,155000,,,,,2,121,"
¡estupenda casa de pueblo en venta!
descubre esta encantadora casa de pueblo de una sola planta, ubicada en una amplia parcela de 210 m² y con 121 m² construidos. con acceso a dos calles, la puerta principal da a una calle tranquila, mientras que la cochera se encuentra en la parte trasera, brindando comodidad y facil
",1,Pilas,2025-08-31,Agosto,No
29,/inmueble/108863371/,"Casa o chalet independiente en Calle Tartessos, Pilas",124994,,,,,4,142,"
chalet adosado en pilas, sevilla. con 142 m² construidos, distribuidos en dos plantas, esta propiedad ha sido excepcionalmente cuidada a lo largo del tiempo, manteniendo un encanto clásico para entrar a vivir desde el primer día y con una ubicación inmejorable.
la planta baja cuenta con un acogedor hall de entrada que
",1,Pilas,2025-08-31,Agosto,No
30,/inmueble/107416269/,"Casa o chalet independiente en Calle Santa María la Mayor, 46, Pilas",92000,,,,,5,211,"
 ¿te gustaría vivir en este estupendo chalet en pleno centro de pilas de planta baja? , ¡pues ahora tienes la ocasión! .
porque no solo dispone de una ubicación inmejorable al encontrarse a 3-4 minutos de la iglesia, del ayuntamiento, farmacia, centro de salud, policía local, sino que también queda a poco más de 5 minu
",1,Pilas,2025-08-31,Agosto,No
31,/inmueble/108864934/,Casa o chalet independiente en Pilas,3000000,,,,,4,1775,"
finca única para quienes valoran lo excepcional
tener la oportunidad de obtener una finca ecuestre dedicada a la cría y selección de caballos pura raza española durante más de tres décadas de historia, realmente no tiene precio, por sus orígenes y su excelente doma. una yeguada que representa el equilibrio perfecto ent
",1,Pilas,2025-08-31,Agosto,lujo
32,/inmueble/101601334/,"Piso en Cristobal Morales, s/n, Pilas",42000,,,,,1,67,"
oportunidad de inversión: pendiente de posesión. viviendas en almonte- calle cristobal moralesse venden viviendas situadas en la tranquila localidad de almonte, en calle cristobal morales. estas viviendas cuentan con una superficie que oscila entre los 58 y 62 m2, distribuidos en 2 habitaciones, un amplio salón, cocina
",1,Pilas,2025-08-31,Agosto,ocupada ilegalmente
33,/inmueble/100283635/,Finca rústica en Pilas,370000,,,,,7,212,"
finca de olivos de 14.256 m2 en el término municipal de pilas, unida a sevilla, por la autovía a49 y, por la carretera entre pueblos. muy cerca de la aldea del rocío y la playa de matalascañas, al igual que el coto de doñana.
la finca tiene 255 pies, de olivos manzanillos, con riego por goteo, que lo abastece un pozo,
",1,Pilas,2025-08-31,Agosto,No
34,/inmueble/100499357/,"Chalet adosado en Calle Calderón de la Barca, s/n, Pilas",102100,,,,,3,99,"
casa adosada con 3 habitaciones en la provincia de sevilla, en el municipio de pilas, en la calle calderon de la barca. con incidencias: inmueble alquilado - no visitable.
",1,Pilas,2025-08-31,Agosto,No
35,/inmueble/107040882/,"Piso en Calle Aguas, Pilas",62000,,,,,3,89,"
inmueble sin posesión y sin acceso al interior. las fotografías del interior y las características del activo, pueden no ajustarse al estado actual.
no cobramos comisión de intermediación al comprador
les ofrecemos en exclusiva este piso en edificio residencial que puedes adquirir en propiedad, con una superficie de
",1,Pilas,2025-08-31,Agosto,ocupada ilegalmente
36,/inmueble/108312905/,"Piso en Calle de la Granaina, Pilas",110000,,,,,2,64,"
¡oportunidad única! piso luminoso y tranquilo con plaza de garaje
descubre este exclusivo piso en primera planta, diseñado para ofrecer comodidad y tranquilidad, esta vivienda destaca por su luminosidad y distribución funcional:
2 habitaciones
baño completo
salón-comedor espacioso
cocina independiente
terraza privada
",1,Pilas,2025-08-31,Agosto,No
37,/inmueble/108863792/,Casa o chalet independiente en Pilas,124356,,,,,5,192,"
esta casa adosada en pilas, sevilla, consta de solar de 311 m² y 192 m² construidos, distribuidos en dos plantas.
la propiedad cuenta con suficiente terreno para ampliar aún más la vivienda y a la construcción existente hay que realizar una reforma adecuada, se pueden conservar y restaurar elementos originales y combi
",1,Pilas,2025-08-31,Agosto,No
38,/inmueble/107233739/,Casa o chalet independiente en Pilas,158900,,,,,4,104,"
la dehesa – pilas
parcela de 2.700 m2 con vivienda de 104 m2 atravesada por pasillo que divide salón y cocina de las habitaciones y baños. porche de entrada, salón grande, cocina americana, 4 habitaciones, 2 baños amplios, amplia azotea.
salida trasera a almacén con una superficie de 260 m2, al lado del almacén zona
",1,Pilas,2025-08-31,Agosto,No
39,/inmueble/108045087/,"Chalet adosado en Calle Manuel Castillo, Pilas",112000,,,,,4,105,"
**casa / chalet adosado en venta - pilas (es-es)**
¡descubre tu nuevo hogar en el corazón de pilas! este espectacular chalet adosado de 105 m² construidos te ofrece todo lo que necesitas para disfrutar de la vida en la ciudad. con un diseño completamente exterior, cuenta con 4 amplias habitaciones, una de ellas en pla
",1,Pilas,2025-08-31,Agosto,No
40,/inmueble/107569390/,Casa o chalet independiente en Pilas,880855,,,,,5,1000,"
se vende hacienda de 3.429 m² de parcela, con una nave de 1.000 m². en la actualidad consta de una vivienda privada con 3 habitaciones, piscina, zona de invitados, salón de celebraciones con capacidad para 350 personas, mesón con capacidad para 250 personas, una amplia zona ajardinada y parking con capacidad para 20 ve
",1,Pilas,2025-08-31,Agosto,villa
41,/inmueble/104107514/,Casa o chalet independiente en Pilas,59400,,,,,3,89,"
venta de casa en pilas, en barrio nuevo. la casa consta de dos plantas mas azotea.
la planta baja se distribuye en: vestibulo, dormitorio, salón, cocina y aseo.
la planta alta: 2 dormitorios y un baño.
la vivienda necesita reformas.
se encuentra situada junto al parque.
azotea visitable con trastero. ¿quieres más info
",1,Pilas,2025-08-31,Agosto,No
42,/inmueble/108804148/,Casa o chalet independiente en Pilas,370000,,,,,7,500,"
a solo 20 minutos del corazón de sevilla, se presenta una oportunidad única en la codiciada cornisa del aljarafe. esta espectacular finca rústica en coria del río ofrece unas vistas incomparables sobre la ciudad, garantizando un estilo de vida de tranquilidad sin renunciar a la comodidad de tener todos los servicios a
",1,Pilas,2025-08-31,Agosto,No
43,/inmueble/107064068/,Finca rústica en Pilas,150000,,,,,4,144,"
venta de finca de 8.496 m2 de terreno y una construcción de 144 m2 en pilas.
uno de los laterales de la finca, se encuentra a fachada de camino.
existen 5 parcelas divididas y valladas.
tres de las parcelas se encuentran sembradas actualmente de cebada.
otra parcela destinada a frutales, estos árboles tienen 6 años y h
",1,Pilas,2025-08-31,Agosto,No
44,/inmueble/101672847/,"Chalet en Avenida Alcalde Jesús Calderón Moreno, 62 -70, Pilas",95000,,,,,2,119,"
¿buscas una vivienda espaciosa y bien situada? esta propiedad de 87 m² útiles es perfecta para quienes desean disfrutar de la comodidad y amplitud en una ubicación privilegiada. con un amplio espacio para personalizar a tu gusto, podrás hacer de este hogar un lugar único. la tranquilidad de la zona y las vistas serán e
",1,Pilas,2025-08-31,Agosto,No
45,/inmueble/107939058/,Finca rústica en Pilas,300000,,,,,3,144,"
venta de finca rural de 2.524 m2 de terreno, con una construcción principal de 144 m2 construidos, pozo legalizado, piscina, luz eléctrica y varias construcciones destinadas al mundo aviar y perruno.
se encuentra a unos 12 kms del rocío.
consta de una única referencia catastral y un único recinto.
el acceso a la finca
",1,Pilas,2025-08-31,Agosto,No
46,/inmueble/108928590/,"Ático en Calle Zorrilla, Pilas",99950,,,,,2,92,"
*atico 2009*entrar a vivir*ascensor*piscina*buena zona*
no se olvide ver el video de esta vivienda *** ***
en la bonita localidad de pilas en el 2º cinturón del aljarafe, se vende piso-ático en 2ª planta con ascensor para entrar a vivir y sin gastos de inmobiliaria.
a caballo entre sevilla, la aldea del rocío ( 30 mi
",1,Pilas,2025-08-31,Agosto,No
47,/inmueble/108702467/,"Chalet en Calle de la Cerámica, 23 -1, Pilas",90000,,,,,3,95,"
oportunidad de inversión: pendiente de posesión. vivienda adosada situada en pilas, un municipio sevillano caracterizado por su entorno tranquilo, su buena conexión con sevilla capital y su cercanía a espacios naturales. la propiedad cuenta con una superficie construida total de 95,40 m², distribuidos en planta baja y
",1,Pilas,2025-08-31,Agosto,No
48,/inmueble/108669657/,Chalet en Pilas,148000,,,,,3,90,"
¡descubre tu nuevo hogar! esta impresionante casa adosada a estrenar es la oportunidad perfecta para disfrutar de la vida en un entorno moderno y cómodo. con una construcción en una sola planta, ofrece un diseño funcional que maximiza el espacio. el amplio salón es ideal para relajarse o recibir a amigos y familiares,
",1,Pilas,2025-08-31,Agosto,No
49,/inmueble/108701168/,Chalet en Pilas,130000,,,,,3,98,"
**casa adosada en venta en una ubicación inmejorable**
descubre esta encantadora casa adosada de dos plantas, perfecta para disfrutar de la comodidad y el espacio que buscas. con un total de 98 m² construidos, esta vivienda cuenta con un amplio salón comedor climatizado, ideal para relajarte o recibir visitas. la coci
",1,Pilas,2025-08-31,Agosto,No
50,/inmueble/104871889/,Chalet en Pilas,120000,,,,,3,136,"
¡descubre esta hermosa casa / chalet adosado en una sola planta con 2 puertas de acceso en venta! al entrar, te recibirá un amplio zaguán que da paso a un acogedor salón, 2 habitaciones y un garaje que se puede integrar a la vivienda. además, cuenta con otro salón con chimenea y una habitación con ventana al patio. la
",1,Pilas,2025-08-31,Agosto,No
51,/inmueble/105960119/,"Casa o chalet independiente en Plaza España, Pilas",206000,,,,,3,206,"
¡descubre tu nueva oportunidad en pilas! te presentamos esta amplia casa en el centro de la localidad, con una superficie de 206 m², ideal para aquellos que buscan un proyecto para reformar y personalizar a su gusto.
la propiedad cuenta con 3 habitaciones y un baño, ofreciendo un espacio versátil que se adapta a tus n
",1,Pilas,2025-08-31,Agosto,No
52,/inmueble/103747332/,"Casa o chalet independiente en Calle Cristóbal Colón, 27, Pilas",145000,,,,,5,275,"
situada frente a la pizzería texas en la calle colón, en el centro, esta amplia casa para reformar ofrece numerosas posibilidades para adaptarse a sus necesidades y convertirse en la vivienda de sus sueños.
la propiedad cuenta con una superficie de 275m2 construidos y se distribuye en dos plantas.
en la planta baja,
",1,Pilas,2025-08-31,Agosto,No
53,/inmueble/109048247/,Chalet adosado en Pilas,99000,,,,,3,120,"
no cobramos comisión de intermediación al comprador
excelente oportunidad para adquirir esta casa adosada, para reformar, luminosa y acogedora, con una distribución óptima que incorpora amplios ventanales para una entrada generosa de luz natural, creando una sensación de amplitud y calidez en cada uno de sus espacios
",1,Pilas,2025-08-31,Agosto,No
54,/inmueble/109034670/,"Casa de pueblo en Calle de la Soleá, Pilas",99000,,,,,2,171,"
vivienda en venta en pilas
propiedad de fondo de inversión, sin costes de intermediación para el comprador.
la planta baja del edificio se destina a garaje y la planta alta a vivienda con 2 amplios dormitorios y dos baños. está en buen estado, necesitando labores de limpieza y adecuación.
puedes tener una casa a un pr
",1,Pilas,2025-08-31,Agosto,No
55,/inmueble/108799775/,Casa o chalet independiente en Pilas,170000,,,,,4,202,"
se vende una chalet ubicado en la urbanización cantarrana, a solo 1 km de pilas. esta encantadora propiedad cuenta con un porche de entrada que te da la bienvenida a un amplio salón con una acogedora chimenea. la cocina abierta te permite disfrutar de una mayor interacción mientras cocinas. en el lateral de la casa, en
",1,Pilas,2025-08-31,Agosto,No
56,/inmueble/108852984/,"Chalet adosado en Calle Julio Romero de Torres, 7, Pilas",145000,,,,,3,120,"
preciosa casa adosada en el centro de pilas y cerca de la salida hacia villamanrique y hinojos. vivienda con tres dormitorios y dos baños, un amplio salón y cocina con salida a un patio donde tiene un trastero lavadero. vivienda luminosa y en una calle residencial tranquila y de nueva construccion.
",1,Pilas,2025-08-31,Agosto,No
57,/inmueble/108799809/,Ático en Pilas,125000,,,,,3,111,"
magnifico ático duplex situado en la ultima planta del edificio con vistas a la fachada principal. este preciosa vivienda consta de pasillo de entrada, amplia cocina, cuarto de baño completo, una habitación y un gran salon que dispone de dos terrazas a ambos lados, que le aportan luminosidad y ventilación. desde aquí,
",1,Pilas,2025-08-31,Agosto,No
58,/inmueble/109078329/,"Chalet en Calle Virgen del Pilar, Pilas",44000,,,,,2,70,"
adosado ocupado por persona sin justo ttulo (antiguo deudor hipotecario)este inmueble debido a su estado ocupacional no admite visitasideal para inversoresla localizacin del inmueble es aproximadavivienda unifamiliar adosada de 70 m, segn catastro, a la venta en pilas, sevilla. muy bien comunicado por carretera (a-
",1,Pilas,2025-08-31,Agosto,No
59,/inmueble/93383638/,"Chalet adosado en Niño Dios de las Carreritas, 3, Pilas",140000,,,,,7,160,"
¡descubre el hogar de tus sueños en el corazón de pilas! este encantador chalet adosado, ubicado en la prestigiosa zona de niño dios de las carreritas, te ofrece una oportunidad única para crear el espacio que siempre has deseado. con una superficie solar de 216 m², esta casa de dos plantas combina lo mejor de ambos mu
",1,Pilas,2025-08-31,Agosto,No
60,/inmueble/108622965/,"Chalet en Calle San Pío X, 53 -41, Pilas",75000,,,,,3,116,"
cesión de remate- la adquisición del inmueble publicitado se llevará a cabo de forma exclusiva mediante cesión de remate, en el marco del proceso de subasta judicial en el que se encuentra actualmente, sin que exista la posibilidad de compraventa directa. consecuencia de lo anterior: (i) el precio publicado se trata de
",1,Pilas,2025-08-31,Agosto,No
61,/inmueble/109045517/,Chalet en Pilas,140500,,,,,3,86,"
se vende casa adosada lista para entrar a vivir sin necesidad de reformar. luminosa gracias a los grandes ventanales y ubicada junto al ies virgen de la soledad.
consta de dos plantas distribuidas de la siguiente manera:
- planta baja con patio delantero, recibidor con armario/despensa, aseo, alegre y amplio salón com
",1,Pilas,2025-08-31,Agosto,No
62,/inmueble/109040073/,Chalet en Pilas,180000,,,,,4,202,"
se vende cómoda casa de una planta, con salida a dos calles y con un total de 202m2 construidos sobre una parcela de 228m2. excelente ubicación, ya que se encuentra a escasos minutos andando del centro de salud, clínica dental, parque, colegio, parada de autobuses, supermercados como mercadona y aldi.. .
la vivienda f
",1,Pilas,2025-08-31,Agosto,No
63,/inmueble/104259539/,Chalet en Pilas,180000,,,,,4,180,"
casa en pilas de 180 m2 dividido en dos plantas mas azotea.
en la planta baja tenemos local comercial con dos entradas automatizados con opción de incluir en vivienda o garaje para hasta 6 coches. puerta de entrada con paso a recibidor y escaleras que suben al primer piso, cocina amueblada, gran salón exterior con ampl
",1,Pilas,2025-08-31,Agosto,No
64,/inmueble/106847859/,"Chalet en Avenida el Aljarafe, 34, Pilas",170000,,,,,3,380,"
. oportunidad de inversión: pendiente de posesión. descubre esta amplia y versátil propiedad situada en una zona residencial tranquila del municipio de pilas. esta vivienda ofrece una combinación ideal de gran superficie construida, distribución práctica y ubicación estratégica, pensada para quienes buscan su próxima i
",1,Pilas,2025-08-31,Agosto,No
65,/inmueble/108556182/,Chalet adosado en Pilas,200000,,,,,2,70,"
 ¡magnífica vivienda con piscina en el corazón de pilas!
¿buscas un hogar cómodo, moderno y listo para entrar a vivir? ¡esta es tu oportunidad! te presentamos esta encantadora vivienda totalmente en planta baja, ubicada en una parcela de 180 m² en pleno centro de pilas.
 la casa cuenta con 70 m² útiles distribuidos
",1,Pilas,2025-08-31,Agosto,No
66,/inmueble/105177597/,Chalet adosado en Pilas,111000,,,,,3,300,"
presentamos una magnífica oportunidad de inversión en pilas, un encantador municipio en la provincia de sevilla. esta casa para reformar ofrece una base sólida y un amplio espacio para diseñar la vivienda de tus sueños o un proyecto inmobiliario rentable.
características principales:
superficie construida: 300 m²
par
",1,Pilas,2025-08-31,Agosto,No
67,/inmueble/108895955/,"Chalet adosado en Calle Lope de Vega, Pilas",125000,,,,,2,120,"
¡descubre tu nuevo hogar en el corazón de pilas! esta espectacular casa adosado de 120 m² construidos te ofrece todo lo que necesitas para disfrutar de la vida en pilas. con un diseño completamente exterior, cuenta con 2 amplias habitaciones y baño en planta baja, ideal para mayor comodidad. la luminosidad del salón-co
",1,Pilas,2025-08-31,Agosto,No
68,/inmueble/108747117/,"Chalet pareado en Avenida el Aljarafe, 64, Pilas",170000,,,,,3,380,"
descubre esta amplia y versátil propiedad situada en una zona residencial tranquila del municipio de pilas. esta vivienda ofrece una combinación ideal de gran superficie construida, distribución práctica y ubicación estratégica, pensada para quienes buscan su próxima inversión inmobiliaria con proyección a largo plazo.
",1,Pilas,2025-08-31,Agosto,ocupada ilegalmente
69,/inmueble/107893659/,"Piso en Calle Zorrilla, Pilas",56000,,,,,3,95,"
venta credito hipotecario
activo sin posesion.
compra del crédito en ejecución hipotecaria, compra al contado, no se puede financiar, compra el crédito avalado por esta magnifica vivienda con ascensor y piscina comunitaria, puedes obtener una gran rentabilidad.
no se puede visitar el interior del inmueble por su situa
",1,Pilas,2025-08-31,Agosto,No
70,/inmueble/100968714/,"Chalet adosado en Calle Amelia de Vilallonga, 19, Pilas",99000,,,,,4,245,"
casa en pleno centro de pilas para hacer una casa nueva
excelente oportunidad para construirse una casa nueva a su gusto en pleno centro de pilas, a pocos metros del ayuntamiento y de la plaza mayor
la casa tiene actualmente 245m2 construidos sobre una parcela de 195m2
presenta en la actualidad 3 puertas a la calle, lo
",1,Pilas,2025-08-31,Agosto,No
71,/inmueble/107252515/,Chalet adosado en Pilas,170000,,,,,3,390,"
espectacular vivienda en pilas, ideal tanto para emprender tu propio negocio como para disfrutar de una vida tranquila y cómoda con tu familia.
ubicada en zona céntrica de pilas, con excelente comunicación mediante transporte público (autobús) a poblaciones cercanas como aznalcázar y sus pinares, villamanrique, hinojo
",1,Pilas,2025-08-31,Agosto,No
72,/inmueble/108292322/,"Piso en Calle Sorolla, Pilas",113000,,,,,2,120,"
**piso en venta en calle sorolla, pilas**
¡descubre tu nuevo hogar en la encantadora calle sorolla, pilas! este espectacular piso es perfecto para familias que buscan comodidad y calidad de vida. situado a solo 200 metros del supermercado cash fresh, tendrás todo lo necesario a tu alcance. la ubicación es ideal, con g
",1,Pilas,2025-08-31,Agosto,No
73,/inmueble/106141165/,"Casa o chalet independiente en dehesa, 13, Pilas",117000,,,,,2,108,"
“chalet o casa independiente, pilas”
¿quieres una casa cómoda, lista para vivir y donde puedas mudarte de inmediato?
bienvenido a villa sueño, un rincón de paraíso en las afueras de pilas donde le espera su gran jardín de 500 m2 ajardinado y arbolado, y una hermosa piscina de 24 m2 filtrada por un nuevo motor de pisc
",1,Pilas,2025-08-31,Agosto,No
74,/inmueble/102396280/,"Piso en Avenida el Aljarafe, 15, Pilas",78000,,,,,1,65,"
mantenimiento muy económico, zona muy tranquila y cerca de todos los servicios
posee escrituras y libre de cargas ideal como inversión de alquiler.
",1,Pilas,2025-08-31,Agosto,No
75,/inmueble/84843915/,"Chalet adosado en Avenida Portugal, 24, Pilas",164900,,,,,4,169,"
casa adosada en esquina de 2 plantas y 169m2, con 4 habitaciones (3 superior y 1 inferior), 2 baños completos (uno con ducha y otro con bañera), amplia cocina, sala, comedor, espacio de lavandería, amplia plaza de garaje, patio frontal y trasero, con rejas, aire acondicionado/calefacción.
",1,Pilas,2025-08-31,Agosto,No
76,/inmueble/107360491/,"Finca rústica en Camino del Baldío, Pilas",490000,,,,,4,200,"
blf-pilas
block ofrece
bonita finca de recreo en pilas, zona d paso de hermandades en peregrinación al rocio, 8.000 m2 de terreno, construidos una vivienda de 200m2, distribuidas en 4 dormitorios, dos baños, salón con chimenea, cocina, porches, piscina, jardín, parque infantil, olivar de regadío, la finca se encuentra
",1,Pilas,2025-08-31,Agosto,No
77,/inmueble/93562065/,"Chalet adosado en Calle de la Granaina, 9, Pilas",220000,,,,,3,180,Sin descripción,1,Pilas,2025-08-31,Agosto,No
78,/inmueble/108638918/,Chalet adosado en Pilas,119990,,,,,3,100,"
vivienda en pilas sin intermediarios – lista para vivir
este chalet adosado de dos plantas no solo destaca por su ubicación tranquila y su excelente distribución, sino por una cocina completamente amueblada que te permitirá instalarte desde el primer día sin preocuparte por reformas ni mobiliario.
características pri
",1,Pilas,2025-08-31,Agosto,No
79,/inmueble/105611104/,"Piso en Calle Párroco Vicente Moya, 9, Pilas",139000,,,,,2,115,"
magnífico piso en zona centro con garaje y trastero. muy luminoso y aireado, con patio de uso exclusivo. totalmente amueblado, con aire acondicionado/calefacción. calentador eléctrico de última generación (bajo consumo). amplio salón con posibilidad de ampliar una habitación más en la vivienda. particular.
",1,Pilas,2025-08-31,Agosto,alquilada
80,/inmueble/108849561/,"Chalet adosado en Calle Santillán, 21, Pilas",117500,,,,,3,110,"
casa adosada con fachada a 2 calles, recién restaurada y pintada, más información no dude en llamar y preguntar sin compromiso…
la vivienda está justamente frente a el jamon (antiguo aldi)
salón con chimenea
3 dormitorios con roperos empotrados.
2 baños
cocina con lavadero
cochera privada por calle trasera y facha
",1,Pilas,2025-08-31,Agosto,No
81,/inmueble/106562729/,"Casa de pueblo en Calle Blanca Medina, 3, Pilas",65000,,,,,3,79,"
se vende vivienda en la zona de la cruz en pilas (sevilla). da a dos calles: blanca medina número 3 y paseo de la independencia número 2. posee 97 metros cuadrados aproximadamente.
",1,Pilas,2025-08-31,Agosto,No
82,/inmueble/107800594/,"Casa de pueblo en Niño Dios de las Carreritas, 3, Pilas",150000,,,,,4,294,"
casa del año 1900 en el centro de la localidad.
",1,Pilas,2025-08-31,Agosto,No
83,/inmueble/101038050/,"Casa o chalet independiente en Calle Obispo Jesús Domínguez, 19, Pilas",101000,,,,,2,224,"
casa con parcela grande en una inmejorable ubicación en pleno el centro del pueblo. comunica con dos calles, teniendo la entrada a la vivienda por una calle y la salida del garaje por la otra. tiene un zaguán, tres salas, cocina, una despensa, dos dormitorios, un baño, un aseo, un almacén, dos patios unidos con un pozo
",1,Pilas,2025-08-31,Agosto,No
84,/inmueble/100483871/,"Piso en Calle San Pío X, 10, Pilas",125000,,,,,3,129,"
se vende casa en primera planta, (no es bloque de pisos), 3 habitaciones, 2 cocinas, 1 baño, 1 salon comedor, 1 salón trasero, balcón, azotea con trasteros, dispone de a/a, armarios empotrados en las 3 habitaciones, madera en pared de salon principal, cocinas amuebladas, salvaescaleras sin apenas uso. tiene cerca tiend
",1,Pilas,2025-08-31,Agosto,No
85,/inmueble/101437209/,"Estudio en Calle Rodrigo de Triana, 9, Pilas",70000,,,,,96,96,"
se venden 2 fantásticos pisos de 48 metros cuadrados cada uno.
se venden juntos ya que tienen la posibilidad de convertirlos en un dúplex al estar uno encima del otro.
son un bajo y un primero como se puede comprobar en las fotos.
es un edificio nuevo, muy tranquilo y en perfecto estado.
están completamente amueblados,
",1,Pilas,2025-08-31,Agosto,No
0,/inmueble/108625217/,"Casa o chalet independiente en Calle Dolores López Hernández, Pilas",95000,,,,,3,126,"
reserva ahora esta vivienda de 126 m². clikalia gestiona la venta de este casa, situado en pilas. se distribuye en salón y comedor, cocina independiente, 3 dormitorios y 2 baños.
cuenta con: trastero
situada en la calle dolores lopez, está cerca de supermercados, farmacias, restaurantes y paradas de autobús.
agenda
",1,Pilas,2025-09-01,Septiembre,No
1,/inmueble/108636877/,Chalet adosado en Pilas,149000,,,,,3,112,"
credit home real estate ofrece magnífica casa reformada en pilas.
el inmueble cuenta con 130 metros cuadrados construidos, de los cuales 112 m2 son de vivienda y está distribuida en dos plantas de la siguiente manera:
en planta baja tiene puerta de entrada con acceso para un vehículo, hall de entrada con entrada al s
",1,Pilas,2025-09-01,Septiembre,No
2,/inmueble/108493712/,"Chalet adosado en Avenida Juan Carlos I, Pilas",90000,,,,,3,140,"
credit home real estate le ofrece adosado en pilas.
la vivienda tiene una superficie construida según catastro de 140 m2.
la casa se encuentra distribuida en dos plantas que se distribuyen de la siguiente manera:
planta baja: hall de entrada, salón-comedor, un dormitorio, cocina independiente, cuarto de baño y un ga
",1,Pilas,2025-09-01,Septiembre,No
3,/inmueble/107940259/,Casa o chalet independiente en Pilas,315000,,,,,5,241,"
gran oportunidad de vivir en un gran chalet rodeado de vegetación, naturaleza, vistas despejadas y tranquilidad!
estupendo chalet de una planta en parcela rustica de 2.500m2
el chalet se distribuye en una sola planta, muy cómodo y se encuentra muy bien distribuido.
un amplio porche de entrada nos abre paso. en su in
",1,Pilas,2025-09-01,Septiembre,No
4,/inmueble/104568551/,Cortijo en Pilas,250000,,,,,4,500,"
magnífica finca situada en la carretera pilas -villamanrique, a pie de carretera. justo a la salida del pueblo, junto polígono los ventolines
cuenta con 2,5 hectáreas aproximadamente, 2 hectáreas de olivos con aproximadamente 320 olivos, y aproximadamente 3.000 m2 de viñas con más de 2.000 cepas. pozo legalizado.
la
",1,Pilas,2025-09-01,Septiembre,cortijo
5,/inmueble/105841745/,Casa o chalet independiente en Pilas,260000,,,,,4,285,"
precioso chalet independiente de esquina en una de las mejores zonas de pilas, muy cerca de la piscina cubierta.
el inmueble dispone de 285m2 construidos totales distribuidos en dos plantas más espectacular sótano y azotea.
un bonito patio delantero nos abre paso.
al entrar, un amplio hall nos distribuye la planta b
",1,Pilas,2025-09-01,Septiembre,luminoso
6,/inmueble/107474776/,Chalet adosado en Pilas,135000,,,,,3,84,"
gran viveinda adosada en pilas, junto plaza de las carreritas.
vivienda exterior y muy luminosa, con excelentes calidades, lista para habitar!
la casa dispone de 84.96m2 construidos distribuido en dos plantas.
un gran patio delantero nos abre paso, en él podrá disfrutar de estupendas comidas al aire libre e incluso
",1,Pilas,2025-09-01,Septiembre,No
